,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
0,Houston,Amer,34,31-3,118.3,89.8,.9600,52.7,42.5,15.3,22,37.1,27.4,28.5,35.8,53.2,43.1,34.5,27.8,63.3,8.5
1,Alabama,SEC,34,29-5,116.9,89.4,.9560,52.7,41.5,19,15.9,33.8,27.5,36.7,32.8,54.6,41.2,33.8,28.1,72.7,10.5
2,UCLA,P12,34,29-5,113.8,88.3,.9489,50.9,46.8,15.3,23.6,33.7,27.6,27.1,27.6,50.4,46.8,34.7,31.1,66.3,8.7
3,Connecticut,BE,33,25-8,119.9,94.1,.9420,53.5,45.5,18.9,19.4,39.2,26.2,31.4,38.7,53.4,45.8,35.7,30,67,4.9
4,Tennessee,SEC,33,23-10,112.3,88.3,.9412,50.3,42.4,18.1,22.2,36.8,26.9,30.9,34.9,51,44.6,32.9,26.2,65.6,3.1
5,Purdue,B10,34,29-5,119.4,94.1,.9393,52.2,47.2,17,15.4,38.3,23.3,37.2,19.3,54.1,47.4,32.6,31.4,64.1,9.2
6,Gonzaga,WCC,32,28-5,125.2,99.7,.9322,58.5,51.7,14.6,18.8,31.1,26,34.2,26.7,59,51.2,38.4,35,70,7
7,Texas,B12,34,26-8,115.7,92.3,.9312,52.7,47.8,16.5,22.8,28.3,29.4,31.5,34.5,53.8,47.2,33.9,32.7,68.8,7.9
8,Arizona,P12,34,28-6,120.8,96.3,.9309,56.8,47.2,18.4,16.9,31.1,26.2,36.5,26,56.6,45.9,38.2,32.8,72.4,7.7
9,Saint Mary's,WCC,32,26-7,113.0,90.7,.9263,52.5,46.7,16.4,19,33.1,21.8,31.2,30.3,51,45.6,36.7,32.8,62.1,3.8
10,San Diego St.,MWC,32,27-6,112.5,90.7,.9222,50.1,47.5,17.6,19.6,31.7,25.8,34.3,29.4,49.4,49.9,34.4,29.2,66.1,6
11,Kansas,B12,34,27-7,113.6,92.3,.9157,52.4,47.1,17.5,20.2,28.4,28.3,29.8,31.2,52.9,47.2,34.4,31.2,69.1,10.3
12,Marquette,BE,34,28-6,119.0,97.1,.9120,56,51.1,15.2,22.8,26.5,32.1,27.1,29,58.8,50,34.8,35.2,68.6,7.4
