,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
0,Gonzaga,WCC,26,26–0,125.3,89.6,.9793,61,47.5,16.1,20.3,30.4,23.4,36.7,25.9,64,46.8,36.5,32.5,75.4,8.5
1,Houston,Amer,26,23–3,119.0,89.4,.9641,51.3,42.9,16.3,21.6,39.4,28,30.7,42.4,49.9,43,35.5,28.5,65.9,4.1
2,Baylor,B12,24,22–2,123.4,93.5,.9604,57.5,49.1,17.6,24.6,37.5,30.9,27,31.7,54.1,48.1,41.8,34,69.6,6.7
3,Michigan,B10,24,20–4,117.7,90.8,.9515,54.9,44.9,16.3,15.1,29.4,24.8,28.9,24.5,53.3,42.3,38.7,33.5,67.8,7.1
4,Illinois,B10,29,23–6,117.4,90.8,.9503,55.6,46.6,18.2,16.1,33,22.2,39.2,30.5,55.3,45.4,37.6,32.7,71.6,8.8
5,Iowa,B10,29,21–8,123.7,96.5,.9457,54.6,48.3,13.3,16.3,30.7,28.6,32,22.6,52.4,45.8,38.6,34.8,70.9,5.5
6,Colorado,P12,30,22–8,115.4,91.7,.9332,52,47.7,16.8,19.8,30.9,25.6,29.9,28,50.3,46.5,36.7,33.3,67.2,4.9
7,USC,P12,29,22–7,113.3,90.2,.9319,52.1,45.4,18.1,17.4,35.7,27.3,37.5,24.8,52.1,42.2,34.8,34.2,68.1,5.5
8,Florida St.,ACC,22,16–6,117.2,93.7,.9293,54.4,46.5,20.2,19.6,35.7,31.4,32.7,36.3,52.1,44.2,39,33.3,71.2,2.4
9,Ohio St.,B10,30,21–9,121.4,97.1,.9285,53.1,48.9,15.3,15,29.1,27.4,37.6,33.8,52.1,47.4,36.5,34.1,67.8,6
10,Alabama,SEC,30,24–6,110.7,88.6,.9282,51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,50.1,46.4,35.1,28.8,74.8,6.9
11,San Diego St.,MWC,26,22–4,111.3,89.3,.9264,52.7,46.7,16.9,22.5,29.9,24.4,34.3,32.7,50.5,44.6,37.5,32.8,66.9,3.1
12,Loyola Chicago,MVC,26,22–4,108.9,88.3,.9185,56.3,46.7,18.5,21.6,26,21,30.7,22.4,58,45.5,35.7,32.5,64.8,1.8
13,Connecticut,BE,22,15–7,113.9,92.3,.9185,49.5,46.2,17.5,19.6,36.8,29.8,29.6,36.9,49,45.6,33.6,31.6,66.6,2
14,Wisconsin,B10,29,17–12,111.4,90.3,.9180,49.4,47.9,13.5,17.8,23.7,25.1,26.9,28.5,46.3,47.1,36,33,65.9,2.1
15,Tennessee,SEC,26,18–8,108.5,88.2,.9148,50.1,45.9,18.2,22.9,31.4,28.6,35.1,31.1,49.8,44.8,33.8,31.8,67.8,2.4
16,Texas,B12,26,19–7,113.6,92.7,.9117,52.9,46.7,20.2,17.8,31.3,26.9,34,36.7,52.4,45.8,35.7,32.3,70,4.2
17,Virginia,ACC,24,18–6,114.8,93.9,.9099,56.1,47.9,15.4,15.2,23.1,22.6,22,24.6,55.3,46.1,38.1,34,60.9,3.5
18,Texas Tech,B12,27,17–10,111.5,91.3,.9089,49.7,47.8,16.3,23.8,33.8,30,39.3,36.5,48.7,44.8,34.6,35,66.6,1
19,Villanova,BE,22,16–6,118.5,97.2,.9075,52.8,51.8,13.5,19,27.9,24.8,30,25.8,52.8,51,35.2,35.4,65.9,3.1
20,Creighton,BE,28,20–8,114.2,94.1,.9032,55.7,46.9,15.8,17.8,24.8,28.2,26.9,25.7,56.3,46.1,36.7,32.1,70,3.3
21,West Virginia,B12,27,18–9,115.1,94.9,.9016,48.7,50.2,17,20.7,35.6,31.3,39.4,28.5,46.4,51.3,35.7,32.3,70.5,3.1
22,Arizona,P12,26,17–9,114.9,95.0,.8990,50.5,49.2,17.2,18,34.3,24.4,41.8,32.4,48.1,48,37.2,34.1,69,1.3
23,Arkansas,SEC,28,22–6,110.1,91.3,.8960,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,51.9,46.9,33.9,32.6,74,4.6
24,Kansas,B12,27,19–8,108.7,90.2,.8958,49.7,47,17.7,20,31.2,26.9,30.5,26.5,49.3,45.9,33.7,32.5,69.2,4.4
25,BYU,WCC,25,19–6,111.5,92.6,.8939,55,46.6,19,16,28.6,23.3,27.8,29.4,54.5,45.5,37.3,32.4,69.1,3.6
26,Purdue,B10,27,18–9,111.5,93.0,.8897,51.4,48.6,18.7,16.9,32.2,24.1,32.2,30.3,52.1,49.7,33.5,31.5,67.5,3.7
27,St. Bonaventure,A10,20,16–4,110.1,91.9,.8896,50.5,45.5,16.9,19.5,33.6,28.4,27.8,28.3,49.3,45.1,35.4,30.6,65.5,1.9
28,LSU,SEC,27,18–9,119.0,99.8,.8828,52.8,48.5,16.1,18.4,31.5,32.8,33.9,29.1,53,51.3,35,30,71.4,2.3
29,UCLA,P12,26,17–9,114.2,96.2,.8786,52,50.7,16.7,17.6,30.8,24.2,32.6,28,50.6,49.4,36.7,35.1,65.5,2.6
30,Oregon,P12,26,20–6,114.0,96.1,.8779,54.4,50.1,16.8,20.3,28.3,27.2,26.8,27.1,52.9,49.9,37.9,33.6,68.1,4.8
